,team,match_count,win,draw,loss,for_goals,against_goal,goal_difference,points
0,Leicester City FC,19.0,11.0,6.0,2.0,33.0,18.0,15.0,39.0
1,Tottenham Hotspur FC,19.0,9.0,7.0,3.0,34.0,20.0,14.0,34.0
2,Arsenal FC,19.0,8.0,7.0,4.0,34.0,25.0,9.0,31.0
3,West Ham United FC,19.0,7.0,7.0,5.0,31.0,25.0,6.0,28.0
4,Manchester City FC,19.0,7.0,7.0,5.0,24.0,20.0,4.0,28.0
5,Liverpool FC,19.0,8.0,4.0,7.0,30.0,28.0,2.0,28.0
6,Southampton FC,19.0,7.0,6.0,6.0,20.0,19.0,1.0,27.0
7,Chelsea FC,19.0,7.0,5.0,7.0,27.0,23.0,4.0,26.0
8,Manchester United FC,19.0,7.0,4.0,8.0,22.0,26.0,-4.0,25.0
9,Everton FC,19.0,5.0,9.0,5.0,24.0,25.0,-1.0,24.0
10,Stoke City FC,19.0,6.0,5.0,8.0,19.0,31.0,-12.0,23.0
11,AFC Bournemouth,19.0,6.0,4.0,9.0,22.0,33.0,-11.0,22.0
12,Crystal Palace FC,19.0,5.0,6.0,8.0,20.0,28.0,-8.0,21.0
13,Watford FC,19.0,6.0,3.0,10.0,20.0,31.0,-11.0,21.0
14,West Bromwich Albion FC,19.0,4.0,8.0,7.0,14.0,22.0,-8.0,20.0
15,Swansea City FC,19.0,4.0,5.0,10.0,22.0,32.0,-10.0,17.0
16,Sunderland AFC,19.0,3.0,6.0,10.0,25.0,42.0,-17.0,15.0
17,Norwich City FC,19.0,3.0,2.0,14.0,13.0,37.0,-24.0,11.0
18,Newcastle United FC,19.0,2.0,3.0,14.0,12.0,41.0,-29.0,9.0
19,Aston Villa FC,19.0,1.0,3.0,15.0,13.0,41.0,-28.0,6.0
